Language,Case,Case comment,default,Morphological,Noun type,Noun class,Number,Conditioning,Form,form_add,form_replace,form_delete,Prosodic form,prosody_clean,prosody_stress,prosody_tone,prosody_vowel_lengthening,Epenthesis,Intonation,Function,Optional,Reference,Notes,Quotes,Need_checking,Exclude
Akkadian,nominative,,,yes,,,dual,,-a:n,-aan,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,nominative,,,yes,,m,pl,,-u:,-uu,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,nominative,,,yes,,f,pl,,-a:t-um,-aatum,,,,,,,,,,,,Huehnergard (1997),,,,
Akkadian,vocative,actually pronominal suffix with vocative function,,yes,,,,,-i:,-ii,,,,,,,,,,,,Huehnergard (1997),based on an example on p. 242: be:lti: '(O) my lady',,,
Alaaba,absolutive,"""marked nominative language""",,yes,,m,,,-í,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),"many more case markers are shown, so only first one used",,1,
Alaaba,absolutive,"""marked nominative language""",,yes,,f,,,-ít,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),"many more case markers are shown, so only first one used",,1,
Alaaba,nominative,"""marked nominative language""",,yes,,m,,,-u,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),"many more case markers are shown, so only first one used",,1,
Alaaba,nominative,"""marked nominative language""",,yes,,f,,,-ít,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),"many more case markers are shown, so only first one used",,1,
Alaaba,vocative,"""marked nominative language""",,yes,"not proper name, human",m,,replacing final short vowel,-ó,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),,,1,
Alaaba,vocative,"""marked nominative language""",,yes,"not proper name, human",f,,replacing final short vowel,-é,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),,,1,
Alaaba,vocative,"""marked nominative language""",,yes,"not proper name, human",m,,replacing final long vowel,-ó:,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),,,1,
Alaaba,vocative,"""marked nominative language""",,yes,"not proper name, human",f,,replacing final long vowel,-é:,,,,high pitch accent,,,,,,,,,Schneider-Blum (2007),,,1,
Amele,vocative,,,particle,"proper name, kinship term, title, greeting",,,,__ ## o,-o,,,,,,,,,,,,Roberts (1987),,,,
Amele,vocative,,,particle,"proper name, kinship term, title, greeting",,,,__ ## e,-e,,,,,,,,,,,,Roberts (1987),,,,
Amharic,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Leslau 1995,,,,
Amharic,accusative,,,yes,definite,,,C_,-ən,-ən,,,,,,,,,,,,Leslau 1995,,,,
Amharic,accusative,,,yes,definite,,,V_,-n,-n,,,,,,,,,,,,Leslau 1995,,,,
Amharic,accusative,,,yes,indefinite,,,,zero,zero,,,,,,,,,,,,Leslau 1995,,,,
Amharic,vocative,,,prosodic,,,,,,zero,,,rising tone,1,,1,,,,,,Leslau 1995,,,,
Amharic,vocative,,,particle,,,,,hoj (Interjection),-hoj,,,,,,,,,,,,Leslau 1995,,,,
Amharic,vocative,,,yes,,m,,,-o,-o,,,,,,,,,,affectionate way of insulting someone,,Leslau 1995,,,,
Amharic,vocative,,,yes,,f,,,-it,-it,,,,,,,,,,affectionate way of insulting someone,,Leslau 1995,,,,
Atong,accusative,,,clitic,,,,s_,-taw,-taw,,,,,,,,,,,,Breugel (2014),,,,
Atong,accusative,,,clitic,,,,everywhere else,-aw,-aw,,,,,,,,,,,,Breugel (2014),,,,
Atong,vocative,,,yes,kinship term,,,,a-,a-,,,,,,,,,,,,Breugel (2014),,,,
Awtuw,accusative,,,yes,,[-f],,,-re,-re,,,,,,,,,,,,Feldman (1986),,,,
Awtuw,accusative,,,yes,,[+f],,,-te,-te,,,,,,,,,,,,Feldman (1986),,,,
Awtuw,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Feldman (1986),,,,
Awtuw,vocative,,,yes,"personal name, kinship term",,,,-wo,-wo,,,,,,,,,,,,Feldman (1986),,,,
Awtuw,vocative,,,yes,"personal name, kinship term",,,,-ə,-ə,,,,,,,,,,,,Feldman (1986),,,,
Beja,accusative,,,yes,,,,,-oo,-oo,,,,,,,,,,,,Wedekind et al. (2007),"somewhat unclear whether this is a general marker or only for ""relationship terms""",,,
Beja,nominative,,,yes,,,,,-uu,-uu,,,,,,,,,,,,Wedekind et al. (2007),"somewhat unclear whether this is a general marker or only for ""relationship terms""",,,
Beja,vocative,,,yes,,,,V_,-yi,-ji,,,,,,,,,,,,Wedekind et al. (2007),,,,
Beja,vocative,,,yes,,,,C_,-ay,-aj,,,,,,,,,,,,Wedekind et al. (2007),,,,
Bilua,vocative,,,yes,"personal name, kinship term",,,,-o,-o,,,,,,,,,,,,Obata (2003),,,,
Boraana Oromo,vocative,,,yes,proper name,,,,-o:,-oo,,,,,,,,,,,,Stroomer (1995),,,,
Boraana Oromo,vocative,,,yes,proper name,,,,-so:,-soo,,,,,,,,,,,,Stroomer (1995),,,,
Boraana Oromo,vocative,,,yes,proper name,,,,-ole:,-olee,,,,,,,,,,,,Stroomer (1995),,,,
Boraana Oromo,vocative,,,yes,proper name,,,,-e:,-ee,,,,,,,,,,,,Stroomer (1995),,,,
Boraana Oromo,vocative,,,yes,proper name,,,,-je:,-jee,,,,,,,,,,,,Stroomer (1995),,,,
Boraana Oromo,vocative,,,yes,proper name,,,,-itu:,-ituu,,,,,,,,,,,,Stroomer (1995),,,,
Cantonese,vocative,,,particle,personal noun,,,,a ## __,a-,,,add final H tone,1,,1,,,,"""old X"" (familiar?)",,Chen 2000,,,,
Chagatay,accusative,,,yes,,,,,-ni / -nɯ ,-ni,,,,,,,,,,,,Bodrogligeti 2001,,,,
Chagatay,accusative,,,yes,,,,,-ni / -nɯ ,-nɯ,,,,,,,,,,,,Bodrogligeti 2001,,,,
Chagatay,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Bodrogligeti 2001,,,,
Chagatay,vocative,,,particle,,,,,ay ## __,aj-,,,,,,,,,,,,Bodrogligeti 2001,,,,
Chuckchi,vocative,,,no,,,,,,,,,reduced vowel in final syll--> full vowel,1,,,,,,,,Dunn 1999,,,,
Chuckchi,vocative,,,no,,,,,,,,,epenthetic schwa in final syll --> o,1,,,,,,,,Dunn 1999,,"“The basic features of the vocative prosody apply to the final syl:dt.:c of the wo~d.The prosodic features are selected fr •m the following (not all possible proso icchanges need be applied):(i) Epenthetic [~) in final syllable~ [o)(ii) Non·epenthetic 1~1 (the result of vowel reduction) in final syllable~ full vowel(iii) Lengthening of vowel in final syllable(iv) Word final vowel ~ vowel + UlIf iurthcr emphasis is required, there can additionally be:(v) Laryngeal constriction(vi) Lengthening of non-final vowels (so that there Is even stress on eachsyllable): this can be applied to all the vowels in the word, or can be limited tothe full (r.on-schwa) vowels.""",,
Chuckchi,vocative,,,no,,,,,,,,,full vowel in final syll --> long vowel,1,,,1,,,,,Dunn 1999,,,,1
Chuckchi,vocative,,,no,,,,,,zero,,,lengthening of all vowels,1,,,1,,,,,Dunn 1999,,,,
Chuckchi,vocative,,,no,,,,,,-j,,,vowel + j,,,,,,,,,Dunn 1999,,,,
Classical Arabic,accusative,,,yes,,,,,-a,-a,,,,,,,,,,,,Hasselbach (2013),,,,
Classical Arabic,nominative,,,yes,,,,,-u,-u,,,,,,,,,,,,Hasselbach (2013),,,,
Classical Arabic,vocative,,,particle,,,,,ja: ##,jaa-,,,,,,,,,,,,Hasselbach (2013),,,,
Eastern Burushaski,vocative,,,prosodic,,,,,,zero,,,vowel lengthening,1,,,1,,,,,Noboru 2012,,,,
Eastern Burushaski,absolutive,,,yes,,,,,-e,-e,,,,,,,,,,,,Noboru 2012,,,,
Eastern Burushaski,ergative,,,yes,,,,,zero,zero,,,,,,,,,,,,Noboru 2012,,,,
Fijian,vocative,,,particle,personal name,,,,i ## _,i-,,,,,,,,,,,,Schütz (1985),,,,
Fore,accusative,,,yes,,,,_non-fricative continuant,initial C becomes prenasalised stop,n-,,,,,,,,,,,,Scott (1978),"shift to ""morphophonemic class N""",,,
Fore,accusative,,,yes,,,,_V,nk__ ,nk-,,,,,,,,,,,,Scott (1978),"shift to ""morphophonemic class N""",,,
Fore,accusative,,,yes,,,,_T,?__ ,ʔ-,,,,,,,,,,,,Scott (1978),"shift to ""morphophonemic class N""",,,
Fore,accusative,,,yes,,,,_s,zero,zero,,,,,,,,,,,,Scott (1978),"shift to ""morphophonemic class N""",,,
Fore,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Scott (1978),,,,
Fore,vocative,,,yes,,,,,-ó,-o,,,comes with pitch accent,1,,1,,,,,,Scott (1978),,,,
Georgian,ergative,,,yes,,,,C_,-ma,-ma,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Georgian,ergative,,,yes,,,,V_,-m,-m,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Georgian,nominative,,,yes,,,,C_,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Georgian,nominative,,,yes,,,,V_,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Georgian,vocative,,,yes,,,,C_,-o,-o,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Georgian,vocative,,,yes,,,,V_,-v,-v,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Georgian,vocative,,,yes,,,,V_,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",taken from Surrey Morphology Group Syncretism Database,,,
Hawaiian,accusative,,,particle,,,,,i ## _,i-,,,,,,,,,,,,Pukui (1979),,,,
Hawaiian,accusative,,,particle,"pronouns, names of people, places",,,,ia: ## _,iaa-,,,,,,,,,,,,Pukui (1979),,,,
Hawaiian,nominative,,,particle,,,,,zero,zero,,,,,,,,,,,,Pukui (1979),,,,
Hawaiian,vocative,,,particle,,,,,e: ## __,ee-,,,,,,,,,,,,Pukui (1979),,,,
Hindi,nominative,,,yes,,f/m,singular,,zero,zero,,,,,,,,,,,,Kachru 2006,,,,
Hindi,nominative,,,yes,,f,plural,,-e [with tilde],-ẽ,,,,,,,,,,,,Kachru 2006,,,,
Hindi,nominative,,,yes,,m,plural,,zero,zero,,,,,,,,,,,,Kachru 2006,,,,
Hindi,oblique,,,yes,,f/m,singular,,zero,zero,,,,,,,,,,,,Kachru 2006,,,,
Hindi,oblique,,,yes,,f,plural,,-õ,-õ,,,,,,,,,,,,Kachru 2006,,,,
Hindi,oblique,,,yes,,m,plural,,-õ,-õ,,,,,,,,,,,,Kachru 2006,,,,
Hindi,vocative,,,yes,,f/m,singular,,zero,zero,,,,,,,,,,,,Kachru 2006,,,,
Hindi,vocative,,,yes,,f/m,plural,,-o,-o,,,,,,,,,,,,Kachru 2006,,,,
Hualapai,accusative,"""object marker""",,particle,,,,,zero,zero,,,,,,,,,,,,Watahomigie et al. 2001: 71-76,,,,
Hualapai,nominative,"""subject marker""",,particle,,,,,ts\,-tʃ,,,,,,,,,,,,Watahomigie et al. 2001: 71-76,case referred to as post positional particle (p. 50),,,
Hualapai,vocative,,,yes,,,sg,,-ɛ,-ɛ,,,primary stressed suffix,1,1,,,,,,,Watahomigie et al. 2001: 71-76,,"""It should be noted that when the person is not in sight, another suffix -ó or -wó is added to the noun. The suffic -wó is added when the noun ends in a long vowel, and -ó when the noun ends in all other sounds. (When these -wo and -o are used for a non-vocative purpose, they do not take the strong stress, i.e., -wo and -o.) [p. 74]",,
Hualapai,vocative,,,yes,,,pl,,-jɛ,-jɛ,,,primary stressed suffix,1,1,,,,,,,Watahomigie et al. 2001: 71-76,,,,
Hualapai,vocative,,,yes,,,sg,i_,zero,zero,,,,,,,,,,,,Watahomigie et al. 2001: 71-77,,,,
Hualapai,vocative,,,yes,,,,a_,stem final -E/-a replaced by -E,,ɛ,,primary stressed suffix,1,1,,,,,,,Watahomigie et al. 2001: 71-77,^X means replace material with X,,,
Hualapai,vocative,,,yes,,,,ɛ_,,zero,,,primary stressed suffix,1,1,,,,,,,Watahomigie et al. 2001: 71-77,,,,
Hup,accusative,,,yes,,animate,,,-an,-an,,,,,,,,,,,,Epps 1973: 166,,,,
Hup,accusative,,,yes,,inanimate,,,zero,zero,,,,,,,,,,,,Epps 1973: 166,,,,
Hup,nominative ,,,yes,,,,,zero,zero,,,,,,,,,,,,Epps 1973: 166,,,,
Hup,vocative,respect marker,,yes,"personal name, kindship term",,,m,-w@d,-wəd,,,,,,,,,,,,Epps 1973,,,,
Hup,vocative,respect marker,,yes,"personal name, kindship term",,,f,-wa,-wa,,,,,,,,,,,,Epps 1973,,,,
Iraqw,vocative,,,prosodic,person,,,,,zero,,,high tone on penultimate syllable,1,,1,,,,,,Mous  (1993),,,,
Kakua,accusative,,,clitic,,,,, =di?,-diʔ,,,,,,,,,,,,Bolaños Quiñonez 2016: 183ff.,,,,
Kakua,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Bolaños Quiñonez 2016: 183ff.,,,,
Kakua,vocative,,,yes,"personal name, kindship term",,,,reduplication of the stem vowel,zero,,,"reduplication of the stem vowel, high tone",1,,1,,,high tone,,,Bolaños Quiñonez 2016: 175f.,,,,
Kakua,vocative,,,yes,"personal name, kindship term",,,,,-a,,,high tone,1,,1,,,high tone,,,,,,,
Kannada,accusative,,,yes,,,,,-anna,-anna,,,,,,,,,,,,Schiffman 1979:26,,,,
Kannada,accusative,,,yes,,,,,-annu,-annu,,,,,,,,,,,,Schiffman 1979:26,,,,
Kannada,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Schiffman 1979:24,,,,
Kannada,vocative,,,yes,rational noun,,,,-e:,-ee,,,,,,,,,,calling or summons,,Schiffman 1979:33,"might be reduced to -an, -na, -n",,,
Kannada,vocative,,,prosodic,rational noun,,,"{i,a}_",,zero,,,-lengthening of stem final vowel,1,,,1,,,,,Schiffman 1979:30,,,,
Karo,vocative,,,prosodic,,,,,,zero,,,final stress + V lengthening (instead of penultimate stress),1,1,,1,,,,,Adelaar & Himmelmann (2005),,,,
Kashmiri,absolutive,,,yes,,declension I,sg,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002","some complications for stems ending in a high central vowel, also possible deletion of stem vowel",,,
Kashmiri,absolutive,,,yes,,declension I,pl,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,absolutive,,,yes,,declension III,sg,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,absolutive,,,yes,,declension III,pl,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,ergative,,,yes,,declension I,sg,,-an,-an,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,ergative,,,yes,,declension I,pl,,-av,-av,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,ergative,,,yes,,declension III,sg,,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,ergative,,,yes,,declension III,pl,,-av,-av,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,vocative,,,yes,,declension I,sg,,-a:,-aa,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,vocative,,,yes,,declension I,pl,,-av,-av,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,vocative,,,yes,,declension III,sg,,-i:,-ii,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Kashmiri,vocative,,,yes,,declension III,pl,,-av,-av,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Khalkha Mongolian,accusative,,,yes,,,,,-iig,-iig,,,,,,,,,,,,Janhunen 2010,,,,
Khalkha Mongolian,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Janhunen 2010,,,,
Khalkha Mongolian,vocative,"""phonological emphasis"", not case",,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-aa,,,"raised pitch, stronger intensity",1,,1,,,"raised pitch, stronger intensity",,,Janhunen 2010,,,,
Khalkha Mongolian,vocative,"""phonological emphasis"", not case",,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-ee,,,"raised pitch, stronger intensity",1,,1,,,"raised pitch, stronger intensity",,,Janhunen 2010,,,,
Khalkha Mongolian,vocative,"""phonological emphasis"", not case",,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-oo,,,"raised pitch, stronger intensity",1,,1,,,"raised pitch, stronger intensity",,,Janhunen 2010,,,,
Khalkha Mongolian,vocative,"""phonological emphasis"", not case",,clitic,"kinship term, title, personal name",,,,-aa / -ee / -oo / -ɔɔ (vowel harmony),-ɔɔ,,,"raised pitch, stronger intensity",1,,1,,,"raised pitch, stronger intensity",,,Janhunen 2010,,,,
Kilmeri,vocative,,,yes,,,,,-e,-e,,,,,,,,,,,,Gerstner-Link (2018),"p. 246: ""It's origin may be an interjection that is fused with the name"", cf. eh in Chapter 3",,,
Kisi,vocative,no case system,,yes,,,,,-wêi,-wêi,,,final vowel can be expressively lengthened,1,,,1,,,,yes,Tucker Childs 1995,,"""the final vowel can be prolonged expressively"" (145)",,
Koasati,accusative,active–stative language,,yes,,,,,-n,-n,,,,,,,,,,,,Kimball 1991,tone language,,,
Koasati,nominative,active–stative language,,yes,,,,,-k,-k,,,,,,,,,,,,Kimball 1991,tone language,,,
Koasati,vocative,active–stative language,,deletion,"proper nounds, kinship terms",,,V_,delete V,,,-V,,,,,,,,,,Kimball 1991: 402f.,tone language,,,
Koasati,vocative,active–stative language,,deletion,"proper nounds, kinship terms",,,ka_,delete -ka,,,-ka,,,,,,,,,,Kimball 1991: 402f.,tone language,,,
Konso,accusative,,,yes,,,,,zero,zero,,,,,,,,,,,,Orkaydo 2013: 13ff.,,,,
Konso,nominative,,,yes,"Proper names, pronouns and days of a week",,,,-ʔ,-ʔ,,,,,,,,,,,,Orkaydo 2013: 13ff.,,,,
Konso,nominative,,,yes,,,,,zero,zero,,,,,,,,,,,,Orkaydo 2013: 13ff.,,,,
Konso,vocative,,,yes,"nouns that trigger M/F gender agreement on the verb, proper names ending on -o",,,o_,-u,-u,,,,,,,,,,,,Orkaydo 2013,,,,
Konso,vocative,,,yes,"nouns that trigger M/F gender agreement on the verb, proper names ending on -o",,,o_,-o,-o,,,,,,,,,,,,,,,,
Konso,vocative,,,yes,nouns that trigger a plural gender agreement on the verb,,,,-j,-j,,,,,,,,,,,,Orkaydo 2013,,,,
Konso,vocative,,,yes,proper names ending in -e,,,e_,-i,-i,,,,,,,,,,,,Orkaydo 2013,,,,
Konso,vocative,,,yes,proper names ending in -e,,,e_,-e,-e,,,,,,,,,,,,,,,,
Konso,vocative,,,yes,proper names ending in -a,,,a_,-a,-a,,,,,,,,,,,,Orkaydo 2013,,,,
Korean,accusative,,,yes,,,,C_,-eul,-eul,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,accusative,,,yes,,,,V_,-reul,-reul,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,nominative,,,yes,,,,C_,-i,-i,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,nominative,,,yes,,,,V_,-ga,-ga,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,vocative,,,yes,,,,C_,-a,-a,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,vocative,,,yes,,,,V_,-ya,-ja,,,,,,,,,,,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,vocative,,,yes,,,,C_,-iyeo,-ijeo,,,,,,,,,,formal,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Korean,vocative,,,yes,,,,V_,-yeo,-jeo,,,,,,,,,,formal,,https://en.wikipedia.org/wiki/Korean_postpositions,will replace wikipedia with better source,,1,
Kulung,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Tolsma (2006),,,,
Kulung,ergative,,,yes,,,,,-ʔa,-ʔa,,,,,,,,,,,,Tolsma (2006),,,,
Kulung,vocative,,,yes,,,,,-ʔa,-ʔa,,,,,,,,,,,,Tolsma (2006),,,,
Lao,vocative,,,particle,,,,,?e:y,ʔeej-,,,,,,,,,,calling out to someone / attract their attention,,Enfield 2007,,,,
Latvian,accusative,,,yes,,m-I,sg,,-u,-u,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,accusative,,,yes,,m-II,sg,,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,accusative,,,yes,,m-IIa,sg,,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,accusative,,,yes,,m-III,sg,,-u,-u,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,accusative,,,yes,,f-IV,sg,,-u,-u,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,accusative,,,yes,,f-V,sg,,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,accusative,,,yes,,f-VI,sg,,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,m-I,sg,,-s,-s,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,m-II,sg,,-is,-is,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,m-IIa,sg,,-s,-s,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,m-III,sg,,-us,-us,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,f-IV,sg,,-a,-a,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,f-V,sg,,-e,-e,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,nominative,,,yes,,f-VI,sg,,-s,-s,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",,,,
Latvian,vocative,,,yes,,m-I,sg,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,m-I,sg,,-s,-s,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,m-II,sg,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,m-II,sg,,-i,-i,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,m-IIa,sg,,-s,-s,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,m-III,sg,,-u,-u,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,f-IV,sg,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,f-IV,sg,,-a,-a,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,f-V,sg,,zero,zero,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,f-V,sg,,-e,-e,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Latvian,vocative,,,yes,,f-VI,sg,,-s,-s,,,,,,,,,,,,"Baerman, Brown & Corbett 2002",vocative either formed by (i) zero or (ii) adding first segment of nominative - sometimes only one of these options is available,,,
Lavukaleve,vocative,,,prosodic,,,,V_,final vowel --> -ou,,ow,,stress shift to prefinal syllable,1,1,,,,stress shift to prefinal syllable,shouting,,Terril 2011: 40,,,,
Lavukaleve,vocative,,,particle,,,sg,,na,-na,,,,,,,,,,commands and exhortations,,Terril 2011: 67,,"""The particles are always spoken as
the final word of an utterance, after an intonation break (the slash indicates a
pause on level pitch, and the comma a pause on a rise in pitch in the following
examples), and they always receive very strong stress."" (67)",,
Lavukaleve,vocative,,,particle,,,dual,,nail,-nail,,,,,,,,,,commands and exhortations,,Terril 2011: 67,,,,
Lavukaleve,vocative,,,particle,,,pl,,nail,-nail,,,,,,,,,,commands and exhortations,,Terril 2011: 67,,,,
Lezgian,absolutive,,,yes,,,,,zero,zero,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
Lezgian,ergative,not considered an affix but a different stem,1,yes,,,,default,-di,-di,,,,,,,,,,,,Haspelmath 1993: 74ff.,,,,
